Text,Prediction,Actual
5 star wings,Chicken,Chicken
oxus cafe and restaurant,Sand/Caf/Bake,Sand/Caf/Bake
famous chef,Chinese,Chinese
fry-days fish and chicken,Fish & Chips,Fish & Chips
new scarborough fisheries,Fish & Chips,Fish & Chips
no.1 chef,Chinese,Chinese
ammas pizza kitchen,Pizza,Pizza
chips away,Fish & Chips,Fish & Chips
golden castle,Chinese,Chinese
warren fisheries,Fish & Chips,Fish & Chips
first choice kebab house,Kebab,Kebab
blackley fast food,Fast Food,Fast Food
marios pizza,Pizza,Pizza
mozzarellas,Pizza,Pizza
cadar chimney cakes,Desserts,Desserts
chicago 30,Pizza,Pizza
skoops,Desserts,Desserts
big joe's,Pizza,Pizza
amici pizzeria and bar,Pizza,Pizza
mishmash desserts,Desserts,Desserts
mr chips,Fish & Chips,Fish & Chips
good food,Chinese,Chinese
sungai wang,Chinese,Chinese
taste of paradise,Indian,Indian
persian grill kitchen,Kebab,Kebab
piri amor,Chicken,Chicken
mumbai to london cafe,Indian,Indian
southmead kebabs,Kebab,Kebab
shahi chicken and kebab house,Fast Food,Fast Food
mr lin,Chinese,Chinese
don luca,Pizza,Pizza
the mint lounge,Indian,Indian
little bros kebab shop,Kebab,Kebab
chan's takeaway,Chinese,Chinese
red chilli,Indian,Indian
cafe coco,Sand/Caf/Bake,Sand/Caf/Bake
durum ocakbasi restaurant,Kebab,Kebab
far east,Chinese,Chinese
paradise pizzas,Pizza,Pizza
welcome inn,Chinese,Chinese
marina fish and chips and best kebab in town,Fish & Chips,Fish & Chips
5 star fried chicken and shawarma,Chicken,Chicken
efeler bbq,Kebab,Kebab
morleys's fast food,Fast Food,Fast Food
cyprus grill,Kebab,Kebab
chillies hawthorn st,Indian,Indian
the copper kettle cafe,Sand/Caf/Bake,Sand/Caf/Bake
caspian sea fish and chips,Fish & Chips,Fish & Chips
pink garlic,Indian,Indian
stanley's bakery,Sand/Caf/Bake,Sand/Caf/Bake
broaster,Chicken,Chicken
the pizza post,Pizza,Pizza
sweet sensation,Desserts,Desserts
kayleighs baps cafe,Sand/Caf/Bake,Sand/Caf/Bake
west end fryer,Fish & Chips,Fish & Chips
j's kitchen,Sand/Caf/Bake,Sand/Caf/Bake
ivy bridge barbecue and pizza house,Pizza,Pizza
wild mango,Indian,Indian
droitwich spa fish bar,Fish & Chips,Fish & Chips
zorba 1,Kebab,Kebab
house of sweets,Desserts,Desserts
turkish kebab and med fish bar and fresh fried chicken,Fast Food,Fast Food
zanzibar,Indian,Indian
panda pizza,Pizza,Pizza
jim's golden fry,Fish & Chips,Fish & Chips
morleys,Chicken,Chicken
cyprus fish bar,Fish & Chips,Fish & Chips
the hot wok bonhill,Chinese,Chinese
spice shack,Indian,Indian
birdy's,Chicken,Chicken
2 nice cafe,Sand/Caf/Bake,Sand/Caf/Bake
white cliff cafe,Sand/Caf/Bake,Sand/Caf/Bake
the delicious pizza,Pizza,Pizza
cafe avenue,Sand/Caf/Bake,Sand/Caf/Bake
the brownie bar,Desserts,Desserts
brockmoor fryer,Fish & Chips,Fish & Chips
ochi caribbean,Chicken,Chicken
peel park fisheries,Fish & Chips,Fish & Chips
the flying egg cafe,Sand/Caf/Bake,Sand/Caf/Bake
pizza bien manger (langley),Pizza,Pizza
marini's,Fish & Chips,Fish & Chips
fat boys cafe,Sand/Caf/Bake,Sand/Caf/Bake
the urban chocolatier,Desserts,Desserts
vintage fish,Fish & Chips,Fish & Chips
belly busters,Sand/Caf/Bake,Sand/Caf/Bake
georges thai and south indian food,Indian,Indian
milkybar,Desserts,Desserts
coffee warehouse,Sand/Caf/Bake,Sand/Caf/Bake
fish plaice @ furnace green,Fish & Chips,Fish & Chips
wings and thingz,Chicken,Chicken
peri peri world,Chicken,Chicken
langstane fast food,Fast Food,Fast Food
delicious kebabs,Kebab,Kebab
pizza delicious,Pizza,Pizza
cafe bleus,Sand/Caf/Bake,Sand/Caf/Bake
adelaide fish bar,Fish & Chips,Fish & Chips
adems afc,Chicken,Chicken
idle pizza and grill,Pizza,Pizza
rajasthan,Indian,Indian
birchington fast food,Fast Food,Fast Food
braw snack's,Sand/Caf/Bake,Sand/Caf/Bake
wah do,Chinese,Chinese
brits cottage,Sand/Caf/Bake,Sand/Caf/Bake
yoden fisheries,Fish & Chips,Fish & Chips
sukie fish bar,Fish & Chips,Fish & Chips
pizza land (selly oak),Pizza,Pizza
stobys fish n chips,Fish & Chips,Fish & Chips
peri peri shack,Chicken,Chicken
princess pizzeria,Pizza,Pizza
menagerie cafe,Sand/Caf/Bake,Sand/Caf/Bake
audley fast food,Fast Food,Fast Food
taaza khana cafe,Indian,Indian
skippers fish bar and pizza,Fish & Chips,Fish & Chips
dixy grill and pizza,Pizza,Pizza
double happiness,Chinese,Chinese
swirly joes,Desserts,Desserts
marmaris kebab house,Kebab,Kebab
gabriel's fish and chips,Fish & Chips,Fish & Chips
red chilli takeaway,Indian,Indian
delish deli and desserts,Desserts,Desserts
cathay's fish bar,Fish & Chips,Fish & Chips
rice kungfu,Chinese,Chinese
teslatte cafe,Sand/Caf/Bake,Sand/Caf/Bake
a and r fish bar,Fish & Chips,Fish & Chips
new corby cafe,Sand/Caf/Bake,Sand/Caf/Bake
the fat cafe diner,Sand/Caf/Bake,Sand/Caf/Bake
rama thai restaurant,Chinese,Chinese
b.c pizzeria,Pizza,Pizza
ashiana,Indian,Indian
equi's ice cream,Desserts,Desserts
capizzi,Pizza,Pizza
miah's of pangbourne,Indian,Indian
bay kebabs,Kebab,Kebab
kiki pizza and grill,Pizza,Pizza
shimla cottage,Indian,Indian
taksim meze bbq grill,Kebab,Kebab
eat in house cafe,Sand/Caf/Bake,Sand/Caf/Bake
zafran,Indian,Indian
smith and jones fish and chips,Fish & Chips,Fish & Chips
eat more piri piri,Chicken,Chicken
fryways,Fish & Chips,Fish & Chips
kebab delight (grimsby),Kebab,Kebab
what a pizza @ the south western arms,Pizza,Pizza
re-loaded waffle,Desserts,Desserts
maxis pizza,Pizza,Pizza
lee raj,Indian,Indian
ram's kebab limited,Kebab,Kebab
ben and eddie's fish and chips,Fish & Chips,Fish & Chips
water gate fish bar,Fish & Chips,Fish & Chips
moti jheel gosforth,Indian,Indian
todd's shake shack,Desserts,Desserts
peri peri station,Chicken,Chicken
bennys pizzeriaxxunk fish and chips,Fish & Chips,Fish & Chips
diana fish bar,Fish & Chips,Fish & Chips
southsea rooster flame grill peri peri,Chicken,Chicken
rumbles pizzeria,Pizza,Pizza
tak's fish barxxunk pizza and milkshakes,Fish & Chips,Fish & Chips
soundbites,Sand/Caf/Bake,Sand/Caf/Bake
coffee pronto,Sand/Caf/Bake,Sand/Caf/Bake
shimla kebab and grill,Kebab,Kebab
peaches n creme,Desserts,Desserts
cafe rose,Sand/Caf/Bake,Sand/Caf/Bake
kebab inn,Kebab,Kebab
fairfax cafe,Sand/Caf/Bake,Sand/Caf/Bake
kylie's cafe @ the bull's head,Sand/Caf/Bake,Sand/Caf/Bake
sydenham kebab shop,Kebab,Kebab
friendly garden,Chinese,Chinese
forum fish bar,Fish & Chips,Fish & Chips
king cafe,Sand/Caf/Bake,Sand/Caf/Bake
sol's fish bar,Fish & Chips,Fish & Chips
abc cafe,Sand/Caf/Bake,Sand/Caf/Bake
that pizza place heaton moor,Pizza,Pizza
la padella fish bar,Fish & Chips,Fish & Chips
mick's fish bar,Fish & Chips,Fish & Chips
chilli pepperz,Indian,Indian
pizza and grill junction,Pizza,Pizza
yellow bird chippy,Fish & Chips,Fish & Chips
superb fish bar,Fish & Chips,Fish & Chips
ni hao no.1,Chinese,Chinese
milano fast food,Fast Food,Fast Food
the cornerstone cafe,Sand/Caf/Bake,Sand/Caf/Bake
macklin fish bar,Fish & Chips,Fish & Chips
in house pizza and grill,Pizza,Pizza
joe joes chicken and ribs,Chicken,Chicken
the green fish bar,Fish & Chips,Fish & Chips
butlers thai,Chinese,Chinese
wan's kitchen,Chinese,Chinese
yeung's kitchen,Chinese,Chinese
supreme fishbar,Fish & Chips,Fish & Chips
ightenhill fish bar,Fish & Chips,Fish & Chips
johnny english fish and chips,Fish & Chips,Fish & Chips
romano pizzeria,Pizza,Pizza
thai orchid maidstone,Chinese,Chinese
zahra,Indian,Indian
sweettree,Desserts,Desserts
ocean fish bar and chinese,Chinese,Chinese
sweet deli,Desserts,Desserts
eastney garden,Chinese,Chinese
diu bar and restaurant,Indian,Indian
goldhays fish and chips,Fish & Chips,Fish & Chips
fletcher's fisheries,Fish & Chips,Fish & Chips
pizzeria volare,Pizza,Pizza
k and k fish bar,Fish & Chips,Fish & Chips
avocado x coffee,Sand/Caf/Bake,Sand/Caf/Bake
spice's restaurant and takeaway,Indian,Indian
the raven fryer,Fish & Chips,Fish & Chips
jahangir,Indian,Indian
holbeck fisheries,Fish & Chips,Fish & Chips
tasty fryer,Fish & Chips,Fish & Chips
pettits fish and kebab,Fish & Chips,Fish & Chips
london fast food,Fast Food,Fast Food
mimi's coffee and dessert lounge,Desserts,Desserts
dhillons golden fry,Fish & Chips,Fish & Chips
fryers delight,Fish & Chips,Fish & Chips
herne bay fish bar,Fish & Chips,Fish & Chips
golden stars,Chinese,Chinese
rustico,Pizza,Pizza
the food crate cafe,Sand/Caf/Bake,Sand/Caf/Bake
noor jahan,Indian,Indian
delhi on the go -delicious food delivered,Indian,Indian
pepis fryer,Fish & Chips,Fish & Chips
botanik bbq,Kebab,Kebab
ilkeston kebabs,Kebab,Kebab
captain cod,Fish & Chips,Fish & Chips
sandon road fish bar,Fish & Chips,Fish & Chips
chatkhara,Indian,Indian
pizza the action,Pizza,Pizza
corfu kebabs seagate,Kebab,Kebab
peking express,Chinese,Chinese
harrys grill and kebabs,Kebab,Kebab
sushi kitchen,Chinese,Chinese
uncle b's fish and chips,Fish & Chips,Fish & Chips
zakir's chippy,Fish & Chips,Fish & Chips
lots of rice,Chinese,Chinese
fusion tiffin,Indian,Indian
garden lane pizza,Pizza,Pizza
jolsha,Indian,Indian
bursley fast food,Fast Food,Fast Food
the parc deli,Sand/Caf/Bake,Sand/Caf/Bake
the tower cafe,Sand/Caf/Bake,Sand/Caf/Bake
starbeck fish and chips,Fish & Chips,Fish & Chips
donatello's ristorante,Pizza,Pizza
sea star fish and kebab,Fish & Chips,Fish & Chips
j's fast food and shakes,Fast Food,Fast Food
cafe fresh,Sand/Caf/Bake,Sand/Caf/Bake
ababil,Indian,Indian
highland fish bar,Fish & Chips,Fish & Chips
champinos pizza,Pizza,Pizza
rios piri piri,Chicken,Chicken
mei's house,Chinese,Chinese
peri peri chicken bites,Chicken,Chicken
sams cod n' chips,Fish & Chips,Fish & Chips
ashoka,Indian,Indian
chilli and onion chinese takeaway,Chinese,Chinese
jini pizza restaurant,Pizza,Pizza
tai pan,Chinese,Chinese
hope well,Chinese,Chinese
heathers coffee house and cafe,Sand/Caf/Bake,Sand/Caf/Bake
new deli,Sand/Caf/Bake,Sand/Caf/Bake
kapadokya fish and chips,Fish & Chips,Fish & Chips
moroccan deli,Sand/Caf/Bake,Sand/Caf/Bake
maine road cafe and fish and chips,Fish & Chips,Fish & Chips
sea fresh,Fish & Chips,Fish & Chips
aspley fish bar,Fish & Chips,Fish & Chips
chic-o-land,Chicken,Chicken
movie munchies,Desserts,Desserts
super kebab house,Kebab,Kebab
anamika new,Indian,Indian
chow,Chinese,Chinese
smart cafe,Sand/Caf/Bake,Sand/Caf/Bake
streetly fryer and pizza,Fish & Chips,Fish & Chips
arki's fish bar,Fish & Chips,Fish & Chips
nawaz restaurant,Indian,Indian
peking aroma,Chinese,Chinese
wing wah,Chinese,Chinese
sunlight fish and chips,Fish & Chips,Fish & Chips
pronto pizzeria fish and chips,Fish & Chips,Fish & Chips
tienda de cafe,Sand/Caf/Bake,Sand/Caf/Bake
hungry hogs cafe,Sand/Caf/Bake,Sand/Caf/Bake
3 chef fish bar,Fish & Chips,Fish & Chips
super pizza me14,Pizza,Pizza
pizzeria napoli authentic wooden fire,Pizza,Pizza
vujon,Indian,Indian
the bow street cafe,Sand/Caf/Bake,Sand/Caf/Bake
old station cafe,Sand/Caf/Bake,Sand/Caf/Bake
billinghay kebabs,Kebab,Kebab
mister waffle,Desserts,Desserts
the peaky bites cafe,Sand/Caf/Bake,Sand/Caf/Bake
marhaba ice-cream bar,Indian,Indian
tj's kebabs,Kebab,Kebab
fairway fish bar,Fish & Chips,Fish & Chips
d'codfather,Fish & Chips,Fish & Chips
fry inn,Fish & Chips,Fish & Chips
new sunflower,Chinese,Chinese
rendezvous deli,Sand/Caf/Bake,Sand/Caf/Bake
the chipyard,Fish & Chips,Fish & Chips
ash golden fish bar,Fish & Chips,Fish & Chips
miss fish,Fish & Chips,Fish & Chips
adam pizzaria,Pizza,Pizza
de pizza house - kimberworth park,Pizza,Pizza
superfish morden,Fish & Chips,Fish & Chips
may street chippy,Fish & Chips,Fish & Chips
chan's kitchen,Chinese,Chinese
mr. fish,Fish & Chips,Fish & Chips
julies kitchen,Sand/Caf/Bake,Sand/Caf/Bake
mario pizza,Pizza,Pizza
abbeyfry fish and chips,Fish & Chips,Fish & Chips
little aden dessert and cafe,Desserts,Desserts
peri peri cottage,Chicken,Chicken
chennai express,Indian,Indian
the big pizza (stonebaked),Pizza,Pizza
family kebab house.,Kebab,Kebab
canterbury fish bar,Fish & Chips,Fish & Chips
shimla,Indian,Indian
elbeck's cafe,Sand/Caf/Bake,Sand/Caf/Bake
coffee house,Sand/Caf/Bake,Sand/Caf/Bake
st peters fish bar,Fish & Chips,Fish & Chips
bbq kebab house,Kebab,Kebab
ice-ilicious,Desserts,Desserts
twisted cafe,Sand/Caf/Bake,Sand/Caf/Bake
stobys fish and chips,Fish & Chips,Fish & Chips
dave shorehead pizza parlour,Pizza,Pizza
charlie's kebab van,Kebab,Kebab
g's fish and chips,Fish & Chips,Fish & Chips
kebab kingz,Kebab,Kebab
amigos piri piri,Chicken,Chicken
a1 golden fry,Fish & Chips,Fish & Chips
napizza,Pizza,Pizza
american sweetz,Desserts,Desserts
vannas cafe,Sand/Caf/Bake,Sand/Caf/Bake
letitia cakes and catering service,Desserts,Desserts
nawaab restaurant,Indian,Indian
cafe 1b,Sand/Caf/Bake,Sand/Caf/Bake
good vogue,Chinese,Chinese
cafe blu,Sand/Caf/Bake,Sand/Caf/Bake
antep turkish cuisine,Kebab,Kebab
superb pizza,Pizza,Pizza
sea shells,Fish & Chips,Fish & Chips
victoria corner cafe,Sand/Caf/Bake,Sand/Caf/Bake
happy date,Chinese,Chinese
milly's fish bar,Fish & Chips,Fish & Chips
mutley kebab and fish burger,Fast Food,Fast Food
english breakfast and vegetarian cafe,Sand/Caf/Bake,Sand/Caf/Bake
medo cafe,Sand/Caf/Bake,Sand/Caf/Bake
wah tin garden restaurant,Chinese,Chinese
treat a licious,Desserts,Desserts
cafe 37,Sand/Caf/Bake,Sand/Caf/Bake
fast fry boldon,Fish & Chips,Fish & Chips
piri piri corner,Chicken,Chicken
super fry fish bar,Fish & Chips,Fish & Chips
the new nelson kebab house,Kebab,Kebab
joanie's cafe,Sand/Caf/Bake,Sand/Caf/Bake
leyland kebab house,Kebab,Kebab
the sylhet spice cuisine,Indian,Indian
pizza base ltd,Pizza,Pizza
kashar asian food takeaway,Indian,Indian
coro the chocolate cafe,Desserts,Desserts
ravenshill chippy,Fish & Chips,Fish & Chips
pizza rush,Pizza,Pizza
marmaris kebab,Kebab,Kebab
katerleanaes cafe,Sand/Caf/Bake,Sand/Caf/Bake
zheng kitchen,Chinese,Chinese
claypath deli,Sand/Caf/Bake,Sand/Caf/Bake
roll a kebab,Kebab,Kebab
ewell fish bar and kebab,Fish & Chips,Fish & Chips
the longford fishbar,Fish & Chips,Fish & Chips
shaw kebab house,Kebab,Kebab
wok and flame - west didsbury,Chinese,Chinese
the arty 101 cafe,Sand/Caf/Bake,Sand/Caf/Bake
yan woo restaurant,Chinese,Chinese
primo pizzeria,Pizza,Pizza
biggy's fried chicken,Chicken,Chicken
peri'os,Chicken,Chicken
the ridgeway fish bar,Fish & Chips,Fish & Chips
pool street chippy and pizza point,Fish & Chips,Fish & Chips
supa kebab,Kebab,Kebab
humbledon fisheries,Fish & Chips,Fish & Chips
inky pizza,Pizza,Pizza
tino's jolly fry,Fish & Chips,Fish & Chips
efes cafe bistro,Sand/Caf/Bake,Sand/Caf/Bake
typhoon thai restaurant,Chinese,Chinese
pizza enjoy,Pizza,Pizza
hooked fish and chips,Fish & Chips,Fish & Chips
park hill fish 'n chip,Fish & Chips,Fish & Chips
concorde cafe,Sand/Caf/Bake,Sand/Caf/Bake
pepe's fish bar,Fish & Chips,Fish & Chips
mill lane pizza,Pizza,Pizza
top kebabs,Kebab,Kebab
chargos piri piri,Chicken,Chicken
sugar mountain,Desserts,Desserts
chick king,Chicken,Chicken
il mulino,Pizza,Pizza
grilloz fish and chips,Fish & Chips,Fish & Chips
swan chippy,Fish & Chips,Fish & Chips
golden grill steak and kebab house,Kebab,Kebab
bagel and shake wembley,Desserts,Desserts
indigo takeaway,Indian,Indian
waterside kebab house,Kebab,Kebab
k and k pizza,Pizza,Pizza
gary's fish bar,Fish & Chips,Fish & Chips
russ's kebab house,Kebab,Kebab
the perfect pizza company,Pizza,Pizza
cannons fish and chips,Fish & Chips,Fish & Chips
marios fish bar and pizza,Fish & Chips,Fish & Chips
la cucina,Pizza,Pizza
marcos pizza and grill,Pizza,Pizza
shake it up,Desserts,Desserts
cafe 55,Sand/Caf/Bake,Sand/Caf/Bake
west end fish and chips and kebabs,Fish & Chips,Fish & Chips
marini'sxxunk the village,Fish & Chips,Fish & Chips
texas tony's cafe,Sand/Caf/Bake,Sand/Caf/Bake
flames pizza and grill,Pizza,Pizza
the spice lounge express,Indian,Indian
johnny's pizza,Pizza,Pizza
uk fish bar,Fish & Chips,Fish & Chips
zaza's chicken house,Chicken,Chicken
g-force cafe,Sand/Caf/Bake,Sand/Caf/Bake
aberbargoed fish and chips,Fish & Chips,Fish & Chips
king cross fisheries,Fish & Chips,Fish & Chips
we wings,Chicken,Chicken
peach garden,Chinese,Chinese
olive pizza kitchen,Pizza,Pizza
benson's cafe,Sand/Caf/Bake,Sand/Caf/Bake
st ives fish and chips,Fish & Chips,Fish & Chips
hengrove pizzaxxunk kebab and fish bar,Fast Food,Fast Food
george's fish bar,Fish & Chips,Fish & Chips
wayne's coffee,Sand/Caf/Bake,Sand/Caf/Bake
village fryers,Fish & Chips,Fish & Chips
chutney jacks,Indian,Indian
reliance fish restaurant,Fish & Chips,Fish & Chips
tor thai bistro,Chinese,Chinese
pino pizza and grill,Pizza,Pizza
mei dou,Chinese,Chinese
kung food,Chinese,Chinese
simply fish and chips,Fish & Chips,Fish & Chips
riverside cafe,Sand/Caf/Bake,Sand/Caf/Bake
the tannery fish bar,Fish & Chips,Fish & Chips
pizza and beyond,Pizza,Pizza
pizzamatic,Pizza,Pizza
chow chow cuisine,Chinese,Chinese
fast food paradise,Fast Food,Fast Food
classic kebabs,Kebab,Kebab
the bank roll cafe,Sand/Caf/Bake,Sand/Caf/Bake
fish 'n' more,Fish & Chips,Fish & Chips
oxford kebab house and persian cuisine,Kebab,Kebab
the food station and mr shakes,Desserts,Desserts
damien's drinks and desserts,Desserts,Desserts
mickys fish and chips,Fish & Chips,Fish & Chips
bodrum fish and chips kebabs,Fish & Chips,Fish & Chips
parkview fish and chips,Fish & Chips,Fish & Chips
lansdowne fish bar,Fish & Chips,Fish & Chips
hamams pizza,Pizza,Pizza
primrose fish grill,Fish & Chips,Fish & Chips
station road chippy,Fish & Chips,Fish & Chips
best kebab southend,Kebab,Kebab
swirls,Desserts,Desserts
bensham fish bar,Fish & Chips,Fish & Chips
king kebab kettering,Kebab,Kebab
pizza and pasta boom,Pizza,Pizza
stone bake pizza,Pizza,Pizza
spicy chef,Indian,Indian
chickery,Chicken,Chicken
piri piri express,Chicken,Chicken
stargate fish and chips,Fish & Chips,Fish & Chips
moreton kebab house,Kebab,Kebab
aha wok,Chinese,Chinese
bangla grill,Indian,Indian
bodrum kebab house (aberdeen) ltd,Kebab,Kebab
fountain kebab,Kebab,Kebab
anchor sea fry,Fish & Chips,Fish & Chips
st austell's kebab,Kebab,Kebab
camara's fish and chips,Fish & Chips,Fish & Chips
man yee,Chinese,Chinese
kebab king,Kebab,Kebab
the rajdoot,Indian,Indian
oliver's fishbar,Fish & Chips,Fish & Chips
agora turkish cuisine,Kebab,Kebab
gr fish and chips,Fish & Chips,Fish & Chips
the cookie dough bar,Desserts,Desserts
vox cafe,Sand/Caf/Bake,Sand/Caf/Bake
golden curry,Indian,Indian
aqua deli,Sand/Caf/Bake,Sand/Caf/Bake
rajkot,Indian,Indian
the little owl cafe,Sand/Caf/Bake,Sand/Caf/Bake
the white horse chinese buffet and takeaway,Chinese,Chinese
yangs,Chinese,Chinese
warstones fisheries and pizza,Fish & Chips,Fish & Chips
norwood kebab house,Kebab,Kebab
roma fish and chips,Fish & Chips,Fish & Chips
la violetta,Pizza,Pizza
golden kitchen,Chinese,Chinese
kings treats,Desserts,Desserts
sawadee thai takeaway,Chinese,Chinese
kens speedy pizza,Pizza,Pizza
canadian pizza,Pizza,Pizza
pond fish and chips and kebab,Fish & Chips,Fish & Chips
hainault bbq kebabs,Kebab,Kebab
purbani (wanstead) restaurant,Indian,Indian
big singh's pizza,Pizza,Pizza
newcastle kebab house,Kebab,Kebab
pisces fish and chips,Fish & Chips,Fish & Chips
new jasmine house no.2,Chinese,Chinese
maggie's tea room,Sand/Caf/Bake,Sand/Caf/Bake
crumbz cafe,Sand/Caf/Bake,Sand/Caf/Bake
best cafe,Sand/Caf/Bake,Sand/Caf/Bake
louies cafe,Sand/Caf/Bake,Sand/Caf/Bake
biggy'z fried chicken,Chicken,Chicken
mahirah restaurant,Indian,Indian
gills golden fish and chipsxxunk pizzaxxunk kebabs and burgers,Fast Food,Fast Food
taste bud cafe,Sand/Caf/Bake,Sand/Caf/Bake
la pizzeria,Pizza,Pizza
capones pizzas,Pizza,Pizza
chopstick house,Chinese,Chinese
jai's pizza,Pizza,Pizza
sugar shack,Desserts,Desserts
buzz fast food,Fast Food,Fast Food
frankie fish and chips,Fish & Chips,Fish & Chips
dan's garden,Chinese,Chinese
cafe 88,Sand/Caf/Bake,Sand/Caf/Bake
master fryer,Fish & Chips,Fish & Chips
kebab delight,Kebab,Kebab
jum's thai,Chinese,Chinese
taj gourmet,Indian,Indian
signori's pizza,Pizza,Pizza
charleys kebabs and grill,Kebab,Kebab
tony's golden fish and chips,Fish & Chips,Fish & Chips
wells fish bar,Fish & Chips,Fish & Chips
oasis pizza express,Pizza,Pizza
kozy kaff,Sand/Caf/Bake,Sand/Caf/Bake
coffee and beans,Sand/Caf/Bake,Sand/Caf/Bake
kasaba turkish kebab,Kebab,Kebab
the sweet life,Desserts,Desserts
tile cross pizza,Pizza,Pizza
the hideout cafe,Sand/Caf/Bake,Sand/Caf/Bake
berry's grill house and gelato,Desserts,Desserts
empire kebab house,Kebab,Kebab
crave coffee and catering,Sand/Caf/Bake,Sand/Caf/Bake
aroras fish and chips,Fish & Chips,Fish & Chips
warrens cafe,Sand/Caf/Bake,Sand/Caf/Bake
rio's cafe - treaty bar,Sand/Caf/Bake,Sand/Caf/Bake
pizza magic,Pizza,Pizza
the jolly friar fish and chips,Fish & Chips,Fish & Chips
capri pizzeria,Pizza,Pizza
amigos fish and grill,Fish & Chips,Fish & Chips
happy spoon ice cream parlour,Desserts,Desserts
aroy thai food,Chinese,Chinese
barrys fish bar,Fish & Chips,Fish & Chips
cucina pizzeria,Pizza,Pizza
red fishbar,Fish & Chips,Fish & Chips
fry fare,Fish & Chips,Fish & Chips
pablo fish bar and cafe,Fish & Chips,Fish & Chips
lahore grill,Indian,Indian
fagans cafe,Sand/Caf/Bake,Sand/Caf/Bake
chigwell bbq meze,Kebab,Kebab
hollywood pizza,Pizza,Pizza
pepe's piri piri,Chicken,Chicken
the shahanara,Indian,Indian
fosters fish and chips,Fish & Chips,Fish & Chips
sabs kebab house,Kebab,Kebab
j and d kebab,Kebab,Kebab
ashy's chippery and takeaway,Fish & Chips,Fish & Chips
pizza man,Pizza,Pizza
spice grills,Indian,Indian
franco's fish and chips and pizza,Fish & Chips,Fish & Chips
panjab sweet centre,Indian,Indian
helen's fish bar,Fish & Chips,Fish & Chips
pizza nice,Pizza,Pizza
boston peri peri,Chicken,Chicken
high pit pizza,Pizza,Pizza
the firehouse pizza,Pizza,Pizza
pisces fish and chips,Fish & Chips,Fish & Chips
bijou cafe london,Sand/Caf/Bake,Sand/Caf/Bake
the steeple fish bar,Fish & Chips,Fish & Chips
sweetland,Desserts,Desserts
adrak bangladeshi takeaway,Indian,Indian
spice cuisine,Indian,Indian
north sea fish bar,Fish & Chips,Fish & Chips
krunchy's leigh,Chicken,Chicken
the cottage shop,Sand/Caf/Bake,Sand/Caf/Bake
lori pizza shop,Pizza,Pizza
tony's fish and chips and kebabs,Fish & Chips,Fish & Chips
dewley fish bar,Fish & Chips,Fish & Chips
first class pizza,Pizza,Pizza
sam's chippy,Fish & Chips,Fish & Chips
weng kee,Chinese,Chinese
shakeys,Desserts,Desserts
mr t's pizza,Pizza,Pizza
new rainbow,Chinese,Chinese
kentish town fish and chips,Fish & Chips,Fish & Chips
lewes fish bar,Fish & Chips,Fish & Chips
westside fish bar,Fish & Chips,Fish & Chips
my thai restaurant,Chinese,Chinese
gabbar,Indian,Indian
street kebab house,Kebab,Kebab
spice kitchens,Indian,Indian
amirah spice stanley ltd,Indian,Indian
chilton chippy,Fish & Chips,Fish & Chips
werringtons fish and chips,Fish & Chips,Fish & Chips
sophie's cheesecake factory,Desserts,Desserts
purton pizza and grill,Pizza,Pizza
hung house,Chinese,Chinese
peri and pizza licious,Pizza,Pizza
pizza grande,Pizza,Pizza
clock fish bar,Fish & Chips,Fish & Chips
happy taste,Chinese,Chinese
simply sweet shawlands,Desserts,Desserts
harpers chicken and ribs,Chicken,Chicken
adams fish and chips,Fish & Chips,Fish & Chips
swirlz,Desserts,Desserts
istanbul takeaway,Kebab,Kebab
oxted kebab house,Kebab,Kebab
thornton fisheries,Fish & Chips,Fish & Chips
houghton chippy,Fish & Chips,Fish & Chips
kuruca peri peri and fried chicken,Chicken,Chicken
mario's pizza and kebab house,Fast Food,Fast Food
oligano,Pizza,Pizza
wan's,Chinese,Chinese
bridgford fish bar,Fish & Chips,Fish & Chips
brierton pizzeria,Pizza,Pizza
mikes fish and chips,Fish & Chips,Fish & Chips
chinese kitchen fish and chips,Chinese,Chinese
fish inn,Fish & Chips,Fish & Chips
red thai,Chinese,Chinese
rice bowl,Chinese,Chinese
azaad invergowrie,Indian,Indian
max's pizza,Pizza,Pizza
stroud kebab world,Kebab,Kebab
jj's coffee lounge,Sand/Caf/Bake,Sand/Caf/Bake
king's fish and chips,Fish & Chips,Fish & Chips
millenium fish and chips,Fish & Chips,Fish & Chips
tandoori corner,Indian,Indian
la scarpetta,Pizza,Pizza
max cafe,Sand/Caf/Bake,Sand/Caf/Bake
fish and chipsxxunk kebab,Fish & Chips,Fish & Chips
star cafe,Sand/Caf/Bake,Sand/Caf/Bake
dilan kebab house,Kebab,Kebab
rooster king,Chicken,Chicken
charlie's chicken bournemouth new,Chicken,Chicken
victoria kebab,Kebab,Kebab
the kingfisher,Fish & Chips,Fish & Chips
that milkshake bar,Desserts,Desserts
wonderful kitchen,Chinese,Chinese
siam thai restaurant,Chinese,Chinese
newham kebabs,Kebab,Kebab
the hot bread shop,Sand/Caf/Bake,Sand/Caf/Bake
barscube deli,Sand/Caf/Bake,Sand/Caf/Bake
basingstoke best kebab house,Kebab,Kebab
pizza club,Pizza,Pizza
kpj's fish and chips,Fish & Chips,Fish & Chips
pizza deluxe,Pizza,Pizza
